,NCI60,CTRP
0,HCT-15,HCT15
1,U251,U251MG
2,SW-620,SW620
3,A549/ATCC,A549
4,OVCAR-5,OVCAR5
5,KM12,KM12
6,SN12C,
7,SF-268,SF268
8,COLO 205,COLO205
9,SNB-19,SNB19
10,HT29,HT29
11,NCI-H23,NCIH23
12,OVCAR-3,NIHOVCAR3
13,HCT-116,HCT116
14,IGROV1,IGROV1
15,SF-539,SF539
16,OVCAR-8,OVCAR8
17,UO-31,UO31
18,SK-MEL-28,SKMEL28
19,NCI-H460,NCIH460
20,UACC-257,UACC257
21,SK-MEL-5,SKMEL5
22,SF-295,SF295
23,CAKI-1,CAKI1
24,UACC-62,UACC62
25,SNB-75,SNB75
26,HOP-62,HOP62
27,OVCAR-4,OVCAR4
28,EKVX ,EKVX
29,SK-MEL-2,SKMEL2
30,MOLT-4,MOLT4
31,SK-OV-3,SKOV3
32,NCI-H522,NCIH522
33,LOX IMVI ,
34,NCI-H322M,
35,ACHN ,ACHN
36,NCI-H226,NCIH226
37,M14,
38,786-0,786O
39,MALME-3M,MALME3M
40,RPMI-8226,RPMI8226
41,HL-60(TB),
42,HCC-2998,
43,TK-10,
44,CCRF-CEM ,
45,HOP-92,HOP92
46,NCI/ADR-RES ,
47,MCF7,MCF7
48,K-562,K562
49,RXF 393,
50,A498,A498
51,MDA-MB-435,MDAMB435S
52,DU-145,DU145
53,PC-3,PC3
54,SR ,
55,MDA-MB-231/ATCC,MDAMB231
56,T-47D,T47D
57,HS 578T,HS578T
58,BT-549,BT549